	numDishTags	numDishTagsWithSnippets	rid
253	0	0	102100
254	3	3	30334
255	0	0	30226
256	0	0	109855
257	0	0	30331
258	0	0	109858
259	3	3	7565
260	0	0	72394
261	0	0	103705
262	3	2	72397
263	3	2	72391
264	0	0	64678
265	3	3	73585
266	0	0	103708
267	0	0	115276
268	0	0	91219
269	0	0	115270
270	0	0	115273
271	3	3	91213
272	0	0	91210
273	0	0	111958
274	0	0	35218
275	2	0	35212
276	0	0	23266
277	0	0	23265
278	0	0	23263
279	0	0	23260
280	0	0	23268
281	3	1	23269
282	0	0	87901
283	0	0	109270
284	0	0	87907
285	0	0	43852
286	0	0	95791
287	0	0	75145
288	0	0	6778
289	0	0	6774
290	3	2	6775
291	0	0	6777
292	0	0	6770
293	0	0	6771
294	0	0	6773
295	0	0	107287
296	0	0	92746
297	0	0	145813
298	0	0	92743
299	3	0	92749
300	0	0	32608
301	0	0	46798
302	0	0	140857
303	0	0	140854
304	0	0	81991
305	3	3	81994
306	0	0	81997
307	0	0	42811
308	0	0	135946
309	0	0	42814
310	0	0	42817
311	0	0	135949
312	0	0	5059
313	0	0	5054
314	3	3	5055
315	3	3	5056
316	3	1	5057
317	3	0	5050
318	0	0	5051
319	0	0	5052
320	3	2	5053
321	0	0	38569
322	0	0	38563
323	0	0	38566
324	0	0	70132
325	0	0	64903
326	0	0	18892
327	0	0	18895
328	0	0	18898
329	0	0	87298
330	0	0	87292
331	0	0	87295
332	0	0	44229
333	3	3	36172
334	0	0	33528
335	0	0	33529
336	0	0	108841
337	3	2	18760
338	0	0	33526
339	0	0	33520
340	0	0	108844
341	0	0	33522
342	0	0	18766
343	0	0	87127
344	0	0	29992
345	0	0	41541
346	0	0	87124
347	0	0	41547
348	3	1	41545
349	0	0	41548
350	0	0	83635
351	0	0	60436
352	3	2	6958
353	0	0	71773
354	3	2	71779
355	0	0	8035
356	0	0	8034
357	3	3	8037
358	0	0	8036
359	3	3	8031
360	3	2	8030
361	3	3	8033
362	0	0	8032
363	3	1	8038
364	3	3	12589
365	0	0	12583
366	0	0	12580
367	0	0	12586
368	3	1	86656
369	3	2	44911
370	0	0	86653
371	0	0	44914
372	0	0	86659
373	0	0	89491
374	0	0	65068
375	0	0	88729
376	3	1	65065
377	0	0	158173
378	3	3	13984
379	3	1	13987
380	3	3	13981
381	3	3	69691
382	0	0	69697
383	0	0	75055
384	0	0	89230
385	0	0	43339
386	0	0	13672
387	0	0	43332
388	0	0	43333
389	3	0	43330
390	3	3	13675
391	0	0	88210
392	0	0	16003
393	0	0	16000
394	0	0	5868
395	3	2	5865
396	0	0	5866
397	0	0	5860
398	3	3	5863
399	0	0	5862
400	0	0	43000
401	0	0	94363
402	0	0	17359
403	0	0	52348
404	0	0	94671
405	0	0	56845
406	0	0	52345
407	0	0	17350
408	0	0	17353
409	0	0	52342
410	0	0	90873
411	0	0	90874
412	3	3	90877
413	3	3	60256
414	0	0	108283
415	0	0	108367
416	0	0	19588
417	0	0	2230
418	0	0	19585
419	0	0	19582
420	0	0	69781
421	0	0	81385
422	3	1	64006
423	3	2	31837
424	3	3	64003
425	0	0	60781
426	3	3	64000
427	3	0	52693
428	3	0	20866
429	0	0	20860
430	0	0	20863
431	3	0	118306
432	0	0	118300
433	0	0	118309
434	0	0	152854
435	0	0	16117
436	0	0	49150
437	0	0	49153
438	0	0	49155
439	0	0	90295
440	0	0	99525
441	0	0	99526
442	0	0	90291
443	0	0	51922
444	0	0	90292
445	0	0	99528
446	0	0	45637
447	3	0	71530
448	0	0	7944
